title,review,rating
Beautiful but too slowwwww,"I went for a business lunch at its restaurant. The hotel is fascinating. The restaurant is very well decorated. It also provide great view of the amstel river. However, the service is so slowww. It kept us forever to get one thing. And another forever to get another thing.",20
Love this Grand Hotel!,"The Amstel is a grand old dame - and she has been treated well. The hotel is in a lovely location on a canal (hard not to be on a canal in Amsterdam, however), but this canal was relatively quiet and away from the heavily-touristed part of Amsterdam. Our room was amazing - I loved that the windows opened - the weather was great! We had several breakfasts in the hotel as well. They were delicious. The terrace bar was wonderful as well. The Amstel staff was superb, friendly and professional, as you would expect at an InterContinental. Amstel is a lovely luxury experience in a great city. I would stay there again and again.",50
"Lousy service, not much to rave about","Appalling service. Rude staff. Yes the view is nice and the cakes/scones were great BUT the sandwiches are big standard (except served inside the bread (for decades already...c’mon - get creative!!!!), there were only 3 varieties of tea served (used to be more) and they cut down on their savory elements. Plus the staff forgot to give our table our chocolates and got our bill wrong. Rubbish. Much better alternative options in town. Amstel are passé on the high tea scene. ☹️",10
Service no good,"We were at a party in the “spiegelzaal” tonight. The people serving us were not so friendly and were not speaking clearly. We expected younger, more fitting and friendlier employees. We wanted to order gin tonic or grey goose to drink, but the employee did not know what this was. We were shocked and could not understand how an employee working in the ballroom did not know what this was. We thought we were in a high class hotel, known in Amsterdam with such a big name and the employees did not even know what a gin tonic is, how is this possible? The food was served without any effort, it was just thrown on the plates and tables. We then ordered wine because this was something they did have, and even this took atleast 15 minutes to arrive. We were very disappointed, our friends",10
First row. First class.,"For me by far the best hotel in Amsterdam. Perfectly located in the middle of the city. Book a room on the upper floors overlooking the water. the rooms are large and decorated with valuable antiques. Everything has style and elegance, that team is friendly and discreet. The best thing for me is to sit on the terrace by the water and drink a cocktail from the first-class bar. Sure, there are cheaper hotels in Amsterdam. But none that is worth its price so much.",50
The Brasserie: Truly Exceptional and Elegant Wine-paired Menu with Excellent Service for 10,"Our dinner party for 10 at the Amstel Brasserie was one of the greatest evenings of wining and dining I've ever experienced. (I'm 59, so that says something.) The food was delicious and the presentation impeccable; truly the stuff of the finest dining. The setting was classic and elegant. The service and wine pairing, just incredible. I erred in not asking the name of the servers and sommelier, so I could mention them here, but a big thanks to each for making the dinner party a truly (truly) memorable experience. A special thanks to InterContinental Groups & Events Manager Mui-Ling Wang. Very gracious, very professional, and just a very nice person. She did a great job in arranging the evening, which included celebrating the 75th birthday of one in our party. (The cake was",50
A taste of a bygone era,"We stayed for two nights and had a very memorable experience. The decor and ambience of the hotel remind you of a bygone era. Very traditional and elegant. The staff were excellent and we made use of the pool, the fitness centre and the spa all of them were excellent. We had dinner at the brasserie one night which was very good although they did have trouble accommodating the two vegans in our party. The location is great with lovely views from the rooms and terraces. We were able to walk to most of the attractions in Amsterdam.",50
We arrived merely as (IHG) Ambassadors but were treated as Royalty,"I have deliberated for almost a year in trying to adequately describe the wonder of our stay at the Amstel. Although the time has come to give this review I know that words cannot adequately describe or do justice to the overwhelming and absolutely delightful experience that we had there. TripAdvisor quite properly encourages reviews to give as much information as possible about a Hotel but the Amstel is so much than hotel accommodation. It is an experience to treasure. It is a discovery of such delight that a guide, rather than a detailed description, is all that I am going to provide. Therefore, I simply: - commend the management and staff for their outstanding service. Only once before have I ever experienced service of such quality and care. Thank you. - recommend in",50
Phenomenal experience...one of the finest hotels we have ever stayed in. We will definitely be back.,This is one of the finest hotels we have ever experienced....and we do quite a lot of traveling. The service is excellent. The hotel is splendidly posh and elegant.We will definitely return in future.,50
Overpriced and underwhelming,"Stayed one night (6/2/19) at end of river cruise. Room was 2 levels: bedroom and bathroom upstairs in basically the attic and sitting room and 1/2 bath on lower level. Upstairs air conditioning not working so it was like a sauna. Hotel solution was to provide a fan to blow the hot air around. Hot water faucet handle in 1/2 bath did not work but it was fixed while we were at dinner. Arrived on Sunday and when we tried to et lunch in hotel restaurant we were told it was fully booked. Glad for the hotel but first time I have ever encountered this. Staff less than warm and welcoming but from what other reviews I have read, typical Dutch. Room price was very high and very overvalued.",10
End of Tauck tour,"This hotel was part of out Tauck tour. Tauck paid for one night and we paid for the second. So far we have not been impressed. From a 30 minute delay to check in to a warm room, it does not rate as a top hotel. The check in could have been improved by adding another clerk. The young lady at the desk said they couldn’t afford more staff. I guess my question is where was the manager to help out? Of course she didn’t go over anything about the wifi or breakfast or how to operate the air conditioning in the room. That was left up to us to determine. Unfortunately it reached 90 degrees today. The room is facing the sun and become very warm. We asked to have it checked. The young man that came admitted it was warm and said he has another room with the same problem. However",30
Great place,"My wife and I spent one night here before boarding a Viking River Cruise boat. The hotel concierge arranged an airport transfer for us when we arrived in Amsterdam and also had made a reservation for us at the hotel's fine-dining restaurant. Our room was spacious and luxurious, the hotel itself was very quite, and the location was excellent. Our dinner was first-rate, and the staff did a great job of explaining several exotic dishes. Both the hotel rate and the dinner tab were on the high end but were well worth it.",50
This could be my favorite hotel!,"I have stayed in hotels all over the world and this may be my favorite hotel of all. The decor of this Old World hotel is beautiful and charming without being overly stuffy. The staff are exceptionally trained, helpful and professional. Breakfast is lovely and relaxing as is the terrace for lunch or cocktails. The location is perfect with taxis readily available outside and just a block or two from both a metro station and a tram stop. If I could give this hotel more than 5 stars, I would. We stayed 3 nights and I'm only sorry we didn't stay longer.",50
Outstanding!!,I'm really surprised this isn't higher on the TA list. This is an outstanding hotel with the kind of charm you don't see anymore. The staff is excellent and friendly without being to overly sweet. We booked through AmEx which I highly recommend as the room upgrade was especially appreciated. We were there for an anniversary and I don't think the hotel could have been nicer or done more to make us feel welcome. They really went out of their way. The breakfast is one of the nicest we've seen. If you're looking for something different I'd suggest reserving one of their vintage boats for a picnic along the canals. Ben is highly knowledgeable and an expert Captain. Very Impressed with everything and everyone.,50
"Great Hotel, Great Location, Great Staff","Can’t rave enough about this hotel, its location and it’s staff. Check in was a breeze and the room and view was exceptional. Was able to walk to most locations. Breakfast buffet was an experience. Best of all was the staff especially the concierge. As usual didn’t plan well enough and required extensive help in arranging museum and dinner reservations. Concierge staff made up for our lack of planning and provided us with a special experience in Amsterdam. With the exception of the TV set that was too complicated this was one of the best hotels I’ve ever stayed at. Kudos to the staff.",50
Lovely hotel with understated elegance,"I spent six days at the Intercontinental and thoroughly enjoyed my stay. I booked with American Express. The room was upgraded to a room with a view of the Amstel River which was spacious and bright with large windows that actually open! The breakfast buffet was excellent, with fresh fruit every day and a wide selection of delicious food as well as eggs dishes to order. The fruit smoothies were a treat. The lobby, tea room, and bar are very pleasant. The staff was very friendly and helpful, but not pushy. I loved the old elegance of the building and the quietly attentive service. I also liked that it is a little bit away from the very busy central square area but it still very well located to the museums and other attractions. I would definitely stay there again if I",50
Anniversary celebration- Wonderful hotel in a superb location,"We went for our wedding anniversary and the welcome we got could not have been warmer. The hotel is a stunning 19th century building, chic and refined situated on the Amstel river. The welcome was warm and friendly. Our room was beautiful, spacious and overlooking the river at the front of the hotel. It was luxuriously appointed, large with a very comfortable bed and a big bathroom with lovely toiletries, separate bath and shower, lots of fluffy towels and gallons of hot water. There is a superb lounge for a light snack, drink or afternoon tea, which overlooks the river. It is very light as the roof is glass as in a large conservatory. We arrived in time for coffee and a snack here before embarking on their lovely wooden canal boat for a private trip around the canals. It was",50
Okay but not fabulous,"Our stay was to celebrate our birthdays - we were expecting fabulous and didn't quite get it. Check-in was pleasant but slow. We arrived at about 13:00 and as our room wasn't ready we opted to have lunch in the Amstel Brasserie whilst we waited. We had a very leisurely and thoroughly enjoyable lunch - service, food and view all excellent - but no-one turned up as promised to let us know the room was ready. So we pootled back to reception and went through another 15 minutes of faff before we finally got the keys to our room. So eventually to the room - upgraded because of status to a standard room with canal view (wow) - and it was all a bit underwhelming; a bit poky and the furniture had seen better days; as had the carpet which didn't appear to have seen a vacuum for a",30
Elegant and friendly!,"This is my sixth visit to the Amstel and each time is better. First, it is beautiful! Perfectly situated at canal’s edge, it offers a lovely view from restaurants and outdoor areas, and it is conveniently located to several tram stops. From here one can travel anywhere in the city on public transport and there are easily obtained taxis and Uber cars, moderately priced. The Amstel Concierge staff is the best I have experienced in Europe since the old days of CLARIDGE’S in London. There is no task these well-trained people will not willingly undertake to insure that each visitor’s stay is perfect. Another stellar staff is that of Room Service - rapid response and very personable people. Though I am reluctant to criticize, I would point out that though my room was clean and",50
Elegance defined,"We were fortunate enough to have stayed for 3 nights at the Amstel. From the moment of arrival to the moment of departure we experienced the very best of this luxury hotel. The hotel offers a graceful elegance that is able to be experienced in the common areas, lounges, and La Rive. We have a few suggestions for any traveler. First, enjoy the access and availability of the Boats at the hotel. The captain gave a tour to a small group one afternoon but then we welcomed the suggestion of the concierge to hire the boat and captain for an evening cocktail cruise and delivery to our restaurant choice that night. We spent almost an hour and a half touring the city by boat and receiving the educational knowledge of the captain about the city. That was terrific. Second, enjoy an evening",50
Great meal on outside terrace,"Had excellent evening meal in the hotel’s brasserie in the warm April sunshine prior to a concert at nearby Theatre Carre. Great view, very good service and very tasty food, lovely place to spend a couple of hours!",40
Beautiful and elegant,"This hotel is beautiful and very elegant. Service is also very good and the rooms are large (including a big beautiful bathroom). The hotel has a ritzy feel to it as you would expect and is nicely set on the canal (great spot for a drink before dinner). We stayed in 3 hotels on our trip and this location is not our favorite, but convenient to the U. of Amsterdam where one of our children is on exchange. The rooms need more places to charge devices (or more adapters) and could use a night light in the bathroom.",50
Great centric location!!!,Went to a corporate event in Amsterdam held in its premises. They pay attention to details and the staff is always willing to assist with anything you may need. The hotel is just in front of the Central Station so its ideal to commute to other nearby cities and towns (such as Leiden and The Hague). I would recommended to anyone planning to travel to Amsterdam. Keep in mind it is a bit pricey!,50
The Very Best Hotel In Holland & Top 10 In Europe,"Since 1995, I have stayed at the InterContinental Amstel Hotel in Amsterdam. It is the finest hotel in Holland by far. Presidents, Prime Ministers, Celebrities and world class Music Artists stay at this luxury hotel. On one occasion when I was there, I visited with lead guitarist of the Eagles. A few days earlier, Paul McCartney and his band was present. When the filming of Ocean 12 was taking place, the entire cast stayed at InterContinential for a month! Over the years, I have entertained leaders here for dinner. The restaurant is the finest in Amsterdam and one of the best in Holland. I cannot say enough about this luxury property. If you are looking to get away and enter into a new world of service, then stay at this hotel. I have stayed in almost every level of hotel",50
Disappointing,"Very disappointing stay at this property. - Despite requesting a room away from the elevator when I booked, I was given a room literally right next to it. When queried with reception staff I was told that the hotel was full and no other rooms were available. A subsequent search of the IHG website, and further confirmed by the duty manager, revealed that this was in fact not the case - there were numerous other rooms available. - Despite the fact I was completely able to carry my own luggage (and communicated as such) it took 90 minutes and then multiple phone calls to have it delivered to my room. - Air conditioning in the room was not working, I had open the window to cool the room down to get some sleep. - Housekeeping staff helped themselves to coins left on the desk during",20
Wonderful Gluten Free Afternoon Tea experience,"I booked The Amstel Lounge's Royal Afternoon Tea to treat a client after a full day photoshoot. We requested that it was Gluten Free and without meat, since my client has gluten intolerances and is a vegetarian. I will be honest: we were a bit nervous, because it's hard to find a place where special diets are well catered for. We shouldn’t have worried. The Tea was 3 courses, all 100% gluten free, all nothing short of spectacular, and in the middle of each course, a different tea, served differently each time (they explained that, in order to fully appreciate each tea’s aromas, we needed a different container). First came a green tea in a cup. Then came mini salads and seeded gluten free bread with dips, vegetables and salmon (my client does eat fish) and chicken (for",50
Polite but not helpful,"The personel was very polite but double-charged my credit card despite explicit lack of my authorisation and call from agency organizing the trip. In case any problem they will make it your problem, not their. I don’t recommend staying in this hotel.",10
Quintessential grand hirek,"If you are visiting the wonderful city of Amsterdam, the chances are that a love of a setting by the water has figured in ur choice of destination. If so, and u are looking for a 5 star upscale property, the Amstel is an obvious choice. Location is superb - it is right by the river so its public rooms have wonderful water views even if ur budget doesn’t stretch to having a room with one. There are 3 tram and 2 metro routes close by that take u quickly and cheaply to key points in the city eg central station, museum square etc. Staff are excellent in all departments and nothing is too much trouble. Rooms are well equipped and generously proportioned. See my separate post for a detailed review of the fine dining restaurant La Rive. The gym is well equipped with a decent",50
Iconic 5 Star Hotel in perfect location,"Our stay at the Amstel Hotel fell nothing short of expectations. Professional front desk and restaurant staff, beautiful room and location was perfect to explore Amsterdam by foot. High Tea experience was lovely and Bar/Lounge program both progressive and traditional. Everything comes at a price including 70 Euros for overnight car parking but we did research beforehand so no hidden costs here. Only minor glitz was concierge Peter asking me if I was a hotel guest when asking for directions to the pool after we had a lengthy conversation the day prior after check-in procedures. I assume it had to do with my less than textbook Amstel Hotel attire that morning so all good in the end.",50
50th birthday in style!,"What can I say other than “thank you & wow “ Upgraded to a river view suite for my big 50 birthday! Just an amazing hotel, check in with fizz, great service and a fantastic breakfast team! Location was perfect for site seeing and dining All in all a winning hotel",50
The Best Of The Best In Amsterdam,"Sensational experience. Spa exceeded expectation. Finest hotel staff I’ve experienced in years. Concierge informative and helpful. Slight delay in room availability upon arrival, however, the staff at this beautiful property accommodated. Could have stayed there for weeks.",50
Classic,We had a suite and it was on one of the top floors. The beds were comfortable. the living room area furniture is classic but dated. All the expected luxuries were included. The concierge was very helpful. Nice location to walk around and see the town.,40
Sleep in a landmark,"This hotel is a touristic attraction. Even if you don´t stay here, you will take pictures of its lovely façade. The hearty breakfast buffet, the fancy diner, afternoon tea in the solarium, drinks at the bar, we enjoyed all their facilities and regret not to bring swimming suits for their beautiful pool. Since my husband is Aspire member, we were upgraded to a spacious room with river view, The garland at the door and the miniature Christmas tree gave a cozy feel to our December trip. The only but was the half flight of stairs in our room, which made it difficult to reach the bathroom at nights.",50
Beautiful classic hotel in Amsterdam,Three nights at the Amstel. What a magnificent hotel. Staying at hotels like the Amstel and previously the Le Grand in Paris one really feels that you are staying among history as I guess you rightly are! But with all the modern conveniences. Check in was very professional and included walking us to our room and showing the facilities. Nice touch. The room was of beautiful and quite spacious. All facilities we required were present. Location is quite central and we had no problems walking to nearby shops and tourist attractions. The concierge services were very helpful finding out our onward travel and arranging a visit to one of the diamond merchants in Amsterdam. We thoroughly enjoyed our stay at the Amstel and would have loved to stay longer in the beautiful city of,50
Without doubts deserves to be called the best hotel in Europe,The spirit of Amsterdam with one look out of the window and perfect hospitality from A-Z. The receptionists not only kind but with personal engagement. The room very comfortable and with good taste arranged until the smallest detail. The breakfast fresh and inspiring. If you are curious and want to know more - the IHG application will lead you fast there...,50
"Didnt mind the old-ish property, as was more displeased with the staff","For background, am just a Gold Eilte IHG member. Stayed at the Amstel for three days for business recently, first time. On the property itself, its nice but there are also many other new and better-facillitied places to stay in Amsterdam for sure. However, what prompted me to write this review was the staff, notably the front desk staff. Curt and abrupt and generally really unhelpful to the extent that I thought to myself 'You people really seem not to want to be at this job and so, why don't you just quit, so that you make way for better staff?'. Doorman never there when you need a cab, ever. Only redeeming part of the service is the housekeeping manager. Not returning unless I can help it.",10
Magical birthday weekend,"If you are looking for a hotel with a soul, look no further. From the moment you enter this stunningly beautiful place, you are in a different world and you are treated like royalty. When we entered our room for the first time, I was overwhelmed by its' beauty. The luch at the hotel restaurant was divine and our lovely waiter gave us excellent service. My husband and I celebrated my birthday weekend at the Amstel Hotel and I cannot imagine it being more special than it was. You will for sure find other beautiful and luxurious hotels in Amsterdam - but none like this one. Staff goes above and beyond to make your stay unforgettable. They not only do their jobs well but they love what they do and you can feel it. On top of that, I cannot emphasise enough the beauty of the",50
Excellent Home when visiting Amsterdam,"We absolutely loved our six night stay at the Amstel Hotel, it far surpassed our expectations. To begin, the staff went above and beyond to make sure we were comfortable. From check in, breakfast each morning - a true highlight, and all the suggestions from the concierge, we were well taken care of. The location is perfect, near enough to walk to everything, but out of the crazy busy area.",50
Nice classic style hotel,We stayed for a winter weekend in lovely Amsterdam and enjoyed the classic style and peace in this hotel. Our room didn't face the river so we felt a little cut off from classic Amsterdam views but the room was very well appointed with everything you could need. Staff were helpful throughout. We paid for breakfast which was nice but at 40 euros each much higher than equivalents in hotels and not as indulgent as the Breakfast club restaurant nearby for 15 euros each. Little off the beaten track but great walking. Taxi from Centraal station was 25 euros and taxi to airport was 60 in rush hour traffic,40
5 stars all around,"A beautiful and massive old building, newly renovated on the corner overlooking the Amstel River. It’s grand and classic and a true historic 5 star hotel. I used an IHG free night certificate to book a Queen Executive city view and was upgraded to a King Executive River view due to my IHG platinum status (it was fairly quiet, I wouldn’t expect this upgrade during busy season). The room was fabulous, high ceilings, tons of space and a huge bathroom with lovely bathtub and separate rainfall shower. Two sets of big windows open up with views over the river and its stunning, especially at sunset. Service is impeccable, as you’d expect at a 5* hotel with sit down checkin, a free glass of prosecco, turndown with sweets and the like. I was given 2pm late checkout based on platinum",50
Amsterdam Adventure,"We recently stayed at the Amstel to celebrate the New Year in Amsterdam. The staff, the property itself, and the location were all perfect for our long weekend. We took the Penthouse Suite, which has a commanding view of the city and was the perfect spot to watch the fireworks. We plan to return to Amsterdam in the warmer weather and surely stay here again. We highly recommend the in-room massage, even more so than the spa - the masseuse was great! Easily one of the best properties in Amsterdam.",50
What a great hotel!,"Fantastic location. Beautiful, classy hotel. The service was what really clinched it for me. We arrived super early, 7am, and I certainly didn't expect to get a room right then (thought we'd just store our luggage and explore), but we were able to check in right away, and got an upgrade to a river view room (Platinum elite thanks to Chase IHG credit card). The staff overall was super attentive and very nice! Thank you, and we will be back :)",50
"Elegant, Fancy Hotel","The cab driver almost drove us off the road when we told her we were heading to the Amstel hotel. She knew all about the history of the hotel, and there's 150 years of history. On the mezzanine, there's even a mini museum of its history. Check-in was very specialized and personal. Ironically, the night before, we stayed at the Holiday Inn Express in Schiphol, and the check-in was 30 seconds there, which I also like. Here, they take a bit longer to ensure your booking details are correct. I've stayed a several Intercontinentals, and this one has the nicest rooms. The room is gorgeous and cozy. It felt like something out of a fairytale. It was spacious and flowery in decoration. The bathroom was also huge, about 1/3 the size of the room. We happened to stay the weekend of",50
Elegant old hotel overlooking the Amstel River,"We booked this grand old hotel on the banks of the Amstel River in Amsterdam at the end of a river cruise. We arrived early, having just embarked from our vessel, and our room was not ready yet. We looked around the public area of the hotel with its magnificent lobby complete with grand staircase to the second floor, lofty ceilings, crystal chandeliers, and lovely huge flower arrangements. The main fine dining room (La Rive) was located off the lobby in a beautiful atrium room adjacent to the terrace overlooking the river. This was also the location for the wonderful breakfast. Down one floor was a more casual dining venue (Brasserie) with a terrace that provided seating along and at the same level as the river. Reception was very formal, but not unfriendly. Same with the",50
Amazing Stay,"From the moment you arrive at the hotel, you receive an absolutely outstanding service. The staff go above and beyond for you and nothing is too much. The room was massive, and the spa facilities were great, with a great view of the river. The hotel is located right next to the metro, making travelling an ease. I will most certainly be staying here again, and I would like to thank all the hotel staff for making my stay so enjoyable.",50
The best high-tea in Amsterdam,I went to the Amstel hotel for the afternoon high-tea to celebrate my birthday. Be sure to arrive on time if not early and expect to be brought to your table group by group. the food was delicious and the tea paring was spot on. A real recommendation should you want something special but different than a dinner to celebrate something nice. The view of the Amstel river from the high-tea room is also breath-taking and peaceful.,50
A lovely classic hotel in Amsterdam,"The Amstel hotel is the grand dame in Amsterdam and it is a lovely hotel to stay in. The rooms are spacious, clean and very classic. The staff is professional and very helpful. The location off course is ideal, central but a bit away from the rumble. The only small comments I have are the shower. Very complicated to handle and slow to react on temperature changes. You always waste a lot of water until you find the right temperature. The other thing is minor but from the top hotel in Amsterdam you expect better. They still have an old sound bar with a iphone 4 docing station..... really???? in 2018????? Please take it away and install a bluetooth device",40
"Good size rooms, friendly staff, great location.","We arrived to a nice greeting and a glass of Proseco. We were early and our room not quite ready, we killed the time by having a late lunch in the restaurant on the water. The staff made us feel at home and let us know when our room was ready. The room had a great view, with windows that could be opened to take it all in! The museums are a 15 minute walk. The shopping district starts 5 minutes away. The hotel is mere minutes from multiple locals, we had a great breakfast around the corner with the locals in a bakery (not the only option). Parking is available at the hotel for $65 (Euro) per day and self parking is also out front for $36 (Euro) for 24 hours (very limited during the week). Self parking has to be paid daily with a CC at the meter. Concierge is very",50
Lovely stay!,Beautiful classic hotel ideally situated with a river view. Simply a perfect stay from Impeccable service to the hotel view/location. We were greeted with a welcome drink. Highly recommended if you prefer luxury over trendy.,50
